MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
7,2013,North,NORTH COAST,6,3096.2,2335.6,2468.6,1902.6,81,61
7,2013,North,SAN FRANCISCO BAY,17,703.6,469.4,453.2,419.6,89,60
7,2013,Central,CENTRAL COAST,6,965.5,622.2,610.1,357.8,58,37
7,2013,South,SOUTH COAST,29,2116.4,1420.6,1365.9,1202,85,57
7,2013,North,SACRAMENTO,43,16091.7,11809,11972.4,9854,83,61
7,2013,Central,SAN JOAQUIN,34,11458.3,7552.6,7066.3,5835.3,77,51
7,2013,South,TULARE LAKE,6,2077.2,1053,649.3,438.6,42,21
7,2013,North,NORTH LAHONTAN,5,1073.5,649.7,739.6,520.3,80,48
7,2013,South,SOUTH LAHONTAN,8,411.9,306.5,278.9,256.6,84,62
8,2013,North,NORTH COAST,6,3096.3,2151.2,2291.6,1695.7,79,55
8,2013,North,SAN FRANCISCO BAY,17,688,444.7,440.2,407.6,92,59
8,2013,Central,CENTRAL COAST,6,970.3,578.6,557.1,308.4,53,32
8,2013,South,SOUTH COAST,29,1973.8,1367.9,1339.4,1170.4,86,59
8,2013,North,SACRAMENTO,43,16001.7,10621.4,10488.7,8635,81,54
8,2013,Central,SAN JOAQUIN,34,11440.4,6771.7,6410.5,5448.9,80,48
8,2013,South,TULARE LAKE,6,2087.4,785.9,442,356,45,17
8,2013,North,NORTH LAHONTAN,5,1072,574,662.1,438.1,76,41
8,2013,South,SOUTH LAHONTAN,8,402.5,292.1,256.6,239.2,82,59
9,2013,North,NORTH COAST,6,3096.3,1988.3,2132,1571.7,79,51
9,2013,North,SAN FRANCISCO BAY,17,688,420.5,428.9,394,94,57
9,2013,Central,CENTRAL COAST,6,970.3,546.4,511.9,258.4,47,27
9,2013,South,SOUTH COAST,29,1973.8,1325.6,1300.7,1153.3,87,58
9,2013,North,SACRAMENTO,43,16001.7,9912.2,9647.9,7975.6,80,50
9,2013,Central,SAN JOAQUIN,34,11440.4,6399.7,6072.6,5134,80,45
9,2013,South,TULARE LAKE,6,2087.4,678.7,398.5,333.5,49,16
9,2013,North,NORTH LAHONTAN,5,1072,507.5,584.8,354,70,33
